timestamp,presion_bar,temperatura_C,caudal_lmin,potencia_motor_W,vibracion_mms,efic_enfriamiento_pct,presion_acumulador_bar
2024-01-01 06:00:00,153.42,47.18,8.029,2191.2,1.474,72.1,130
2024-01-01 06:01:00,160.35,36.13,7.642,2286.4,0.584,95.4,130
2024-01-01 06:02:00,159.16,35.46,7.788,2221.6,0.704,95.8,130
2024-01-01 06:03:00,146.83,34.53,7.851,2021.3,1.269,95.7,115
2024-01-01 06:04:00,144.14,60.54,7.798,2237.0,0.538,36.8,115
2024-01-01 06:05:00,128.0,61.0,8.382,2116.2,1.202,38.2,90
2024-01-01 06:06:00,152.17,60.25,9.052,2315.7,3.145,10.3,130
2024-01-01 06:07:00,147.69,35.89,7.996,2265.0,0.55,96.4,115
2024-01-01 06:08:00,137.32,34.51,8.046,2123.2,1.557,96.2,100
2024-01-01 06:09:00,134.62,36.07,7.966,2067.8,0.845,99.5,100
2024-01-01 06:10:00,127.85,61.08,8.543,2040.6,0.554,37.3,90
2024-01-01 06:11:00,133.88,35.82,8.371,2259.5,0.607,99.3,100
2024-01-01 06:12:00,121.84,34.06,8.193,2100.0,0.862,96.5,90
2024-01-01 06:13:00,157.44,48.31,7.715,2188.3,0.734,76.6,130
2024-01-01 06:14:00,144.79,46.24,7.813,2240.4,0.592,70.3,115
2024-01-01 06:15:00,156.5,,8.27,2411.9,2.696,79.7,130
2024-01-01 06:16:00,159.55,47.76,8.289,2370.9,1.284,72.1,130
2024-01-01 06:17:00,153.19,47.86,8.194,2412.9,2.148,72.3,130
2024-01-01 06:18:00,154.64,45.56,8.466,2190.9,1.232,78.4,130
2024-01-01 06:19:00,158.92,47.09,7.711,2320.1,0.742,65.2,130
2024-01-01 06:20:00,156.67,-5.07,8.321,2282.1,0.506,98.1,130
2024-01-01 06:21:00,153.25,61.15,8.299,2357.6,0.874,20.2,130
2024-01-01 06:22:00,122.61,47.37,7.817,2002.1,0.573,62.8,90
2024-01-01 06:23:00,153.68,48.16,7.958,2240.7,1.292,76.2,130
2024-01-01 06:24:00,133.15,47.43,8.477,2149.8,1.524,71.8,100
2024-01-01 06:25:00,155.59,35.44,7.745,2236.3,0.837,97.2,130
2024-01-01 06:26:00,125.2,47.16,9.186,2090.8,0.602,79.8,90
2024-01-01 06:27:00,125.7,48.22,8.422,1906.9,0.661,79.5,90
2024-01-01 06:28:00,132.9,34.46,8.177,2244.1,0.727,95.2,100
2024-01-01 06:29:00,134.82,60.72,8.099,1927.2,0.733,31.8,100
2024-01-01 06:30:00,149.86,35.0,8.515,2382.4,1.353,95.8,130
2024-01-01 06:31:00,125.36,59.33,8.035,2023.5,0.872,17.7,90
2024-01-01 06:32:00,127.94,60.82,8.052,1954.0,1.568,21.0,90
2024-01-01 06:33:00,121.44,34.79,8.781,2083.6,0.878,96.2,90
2024-01-01 06:34:00,136.21,35.8,8.011,2220.8,0.562,99.1,100
2024-01-01 06:35:00,153.47,35.11,8.254,2402.7,2.159,96.0,130
2024-01-01 06:36:00,127.01,45.11,7.896,2160.1,1.23,62.0,90
2024-01-01 06:37:00,155.4,60.38,8.304,2241.3,0.85,10.4,130
2024-01-01 06:38:00,146.01,35.6,8.432,2246.4,2.113,95.3,115
2024-01-01 06:39:00,155.16,45.47,8.873,2167.8,0.529,69.4,130
2024-01-01 06:40:00,128.32,59.44,7.825,2076.3,1.021,20.6,90
2024-01-01 06:41:00,155.87,45.55,7.621,2337.0,1.227,65.8,130
2024-01-01 06:42:00,153.24,60.59,8.093,2280.0,1.226,10.1,130
2024-01-01 06:43:00,145.25,36.61,7.953,2083.1,0.98,97.0,115
2024-01-01 06:44:00,134.08,47.68,8.194,2102.5,0.574,67.9,100
2024-01-01 06:45:00,145.41,36.29,8.409,2382.6,2.526,96.3,115
2024-01-01 06:46:00,153.95,46.59,9.106,2341.3,0.595,79.4,130
